target_deck_id,rank,peer_name,url,rank_score,rank_method,core_embed_sim,embed_sim,tfidf_cosine,combined_score,host_penalty,mention_penalty,incumbent_penalty,discovery_source,snippet_prefilter_score,from_cache,bmc_fields_filled,customer_segments,value_proposition,channels,customer_relationships,revenue_model,key_resources,key_activities,key_partners,cost_structure
Bower,9,Wastewiseinnovation,https://wastewiseinnovation.com/turning-waste-into-wins-how-consumer-engagement-transforms-recycling/,0.389,all-MiniLM-L6-v2,0.389,0.575,0.0673,0.0628,0.0,0.0,0.0,bmc_search:consumers rewarding recycling at existing bins startup,0.501,yes,5,,Transforming traditional waste management into a high-fidelity data engine,"Retrofitting existing containers with Material Authentication Unit platform, mobile rewards app, and ESG reporting dashboard","Seamless, phased retrofit process to bridge gap between physical disposal and digital audience insights",,"Existing infrastructure (recycling bins), barcode-matched verification tools, connected logging tools","Retrofitting containers, integrating barcode scanning, logging tools, and incentivizing users",,
Bower,10,Thesaudiboom,https://thesaudiboom.com/barq-a-new-saudi-fintech-startup-officially-launches-to-the-public-in-saudi-arabia/,0.274,all-MiniLM-L6-v2,0.274,0.563,0.0339,0.0377,0.0,0.0,0.0,bmc_search:consumers B2B startup official website,0.252,yes,4,,"Financial app for global money transfers, virtual & physical Visa cards",,,"Zero annual or international fees on Visa cards, cashback rewards","E-wallet license from Saudi Central Bank, experienced leadership","Developing and maintaining financial app, offering innovative products",,
Calaxy,1,Panxora,https://panxora.io/from-zero-to-hero-building-a-thriving-decentralized-influencer-network-for-your-token-launch/,0.601,all-MiniLM-L6-v2,0.601,0.677,0.0953,0.0859,0.0,0.0,0.0,bmc_search:Influencers Decentralized tools for creating personal tokens startup,0.49,no,5,,Decentralized influencer network for token launch,,Mutually beneficial relationship between project and influencers,Incentivizing and rewarding influencers based on performance,"Blockchain technology, high-quality content, and community engagement","Identifying and onboarding influencers, incentivizing and rewarding them",,
Calaxy,2,Spearmint,https://spearmint.online/influencer-marketing/,0.413,all-MiniLM-L6-v2,0.413,0.646,0.0372,0.0519,0.0,0.0,0.0,bmc_search:Development of decentralized tools for Influencers startup,0.384,no,5,,Influencer marketing services that drive real business outcomes,"Instagram, TikTok, YouTube",Data-driven plans to grow your business,"Free quotes, schedule a consultation for tailored plan",,Designing campaigns that forge meaningful connections with Gen Z audiences,,
Calaxy,3,Thedatascientist,https://thedatascientist.com/influencersgonewild-in-web3-decentralized/,0.386,all-MiniLM-L6-v2,0.386,0.709,0.1791,0.1635,0.0,0.0,0.0,bmc_search:Development of decentralized tools for Influencers startup,0.51,no,6,,Decentralized influence through blockchain-powered technologies,"Social media platforms, NFT marketplaces, DAOs",Two-way emotional and financial relationships between creators and fans,"Monetization of digital assets, social tokens, and experiences","Blockchain technology, NFTs, DAOs, social tokens","Content creation, community building, token development",,
Calaxy,4,Inoru,https://www.inoru.com/token-development,0.339,all-MiniLM-L6-v2,0.339,0.662,0.1114,0.0954,0.0,0.0,0.0,bmc_search:Decentralized tools for creating personal tokens startup company,0.415,no,4,,"Secure blockchain solutions for DeFi, NFT, and utility projects",,,Token development services for secure blockchain solutions,"Certified token & blockchain experts, next-generation tech stack","End-to-end crypto token development services, security auditing, wallet integration",,
Calaxy,5,Influencermarketinghub,https://influencermarketinghub.com/b2b-influencer-marketing-platforms/,0.291,all-MiniLM-L6-v2,0.291,0.468,0.0221,0.0329,0.0,0.0,0.0,bmc_search:Influencers B2B startup official website,0.288,yes,5,,Expert-based reviews of Digital Marketing agencies,,,Advertising Disclosure,"Digital Marketing experts, evaluation methodology",Strategic Analysis of Agency Capabilities,"Forbes, McKinsey & Company, CNN, BBC, Copenhagen Business School, Digital Marketing Institute",
Circular,1,Texspacetoday,https://www.texspacetoday.com/hm-group-and-circ-partner-to-launch-circular-fashion-with-recycled-polycotton-fibers/,0.622,all-MiniLM-L6-v2,0.772,0.836,0.1452,0.1293,0.0,0.15,0.0,bmc_search:Circular products made from recycled polycotton startup company,0.488,yes,5,,Circular fashion with recycled polycotton fibers,,,Commercial viability of circular fashion within existing supply chains,"Recycled pulp, TENCEL™ | Circ® fibers, REFIBRA™ technology","Textile-to-textile recycling, collaboration across the supply chain","H&M Group, Lenzing Group, AGI Denim, Palmetto, Fakir Knitwear",
Circular,2,Knowingfabric,https://knowingfabric.com/what-is-recycled-polycotton-eco-friendly-fabric-guide/,0.56,all-MiniLM-L6-v2,0.56,0.738,0.0478,0.0674,0.0,0.0,0.0,competitor_search:Circular products made from recycled polycotton startup competitors,0.549,no,6,,Eco-friendly fabric made from recycled polyester and cotton fibers,"Online, apparel, home textiles, industrial fabrics",,Selling eco-friendly fabrics to manufacturers and consumers,"Recycled polyester and cotton fibers, manufacturing facilities","Manufacturing, marketing, sales","Suppliers of recycled materials, manufacturers of apparel and textiles",
Circular,3,Climatesort,https://climatesort.com/circular-economy-companies/,0.495,all-MiniLM-L6-v2,0.575,0.682,0.0923,0.086,0.0,0.08,0.0,bmc_search:startups similar to Circular Circular products made from recycled,0.521,yes,5,,Circular economy companies reduce waste and carbon emissions by circulating materials and products.,,,Investing in green energy and zero-waste technologies,"Natural resources, recycled materials","Modifying design of materials, products, and services to reduce dependence on resources","United States Environmental Protection Agency (EPA), Save Our Seas 2.0 Act",
Circular,4,Scandinavianmind,https://scandinavianmind.com/olli-kahkonen-aaltocell-nordic-bioproducts/,0.479,all-MiniLM-L6-v2,0.479,0.574,0.0283,0.0406,0.0,0.0,0.0,bmc_search:Circular products made from recycled polycotton startup company,0.386,yes,6,,"Rewards recycling with discounts, cash, and kudos","Mobile app, existing bins",Users can donate to charity or redeem rewards,Deposit value for scanned packaging,,"Scanning technology, geolocation technology, pre-scanning feature","Procter & Gamble, Unilever, L'Oréal",
Circular,5,Pazepack,https://www.pazepack.com/technology,0.392,all-MiniLM-L6-v2,0.392,0.619,0.0463,0.0532,0.0,0.0,0.0,listicle_page:startups similar to Circular Circular pr,0.361,no,4,,Innovating Sustainable Packaging with Aero-Flex Technology,,,"Cost Efficient, Zero Waste shipping","Patented Aero-Flex technology, Dynamic Label, Multipocket System","Fully Automated, Inflatable Packaging Solution",,
Circular,6,Cplusup,https://cplusup.co,0.362,all-MiniLM-L6-v2,0.362,0.555,0.0515,0.058,0.0,0.0,0.0,listicle_page:startups similar to Circular Circular pr,0.331,no,4,,Transforming CO2 into high-purity propane—a synthetic fuel and chemical feedstock.,,,"Turning waste into a profitable fuel and feedstock—enhancing revenue, reducing carbon intensity, and minimizing regulatory risks.","Power-to-X technology, modular, decentralized synthesis","Capturing and utilizing CO2 in a single, energy-efficient step",,
Circular,7,Macrocycle,https://www.macrocycle.tech,0.347,all-MiniLM-L6-v2,0.427,0.637,0.0563,0.0615,0.0,0.08,0.0,listicle_page:startups similar to Circular Circular pr,0.458,no,5,,"Circular, zero-carbon upcycling process",,,Market Rate,Proprietary process based on synthesis of cyclic macromolecules (macrocycles),"Recycling, Upcycling","Clean Energy Ventures, Volta Circle",
Circular,8,Asahi Kasei,https://asahi-kasei.eu/investment-circularise/,0.1,all-MiniLM-L6-v2,0.25,0.529,0.063,0.0602,0.0,0.15,0.0,competitor_search:Circular Circular products made from recycled alternatives startup,0.356,no,5,,Digital product passports and mass balance bookkeeping software,,,Investment in Circularise B.V.,"Asahi Kasei Group, Brightlands Venture Partners, 4impact capital, Neste",Supply chain management system using blockchain technology,"Circularise B.V., Brightlands Venture Partners, 4impact capital, Neste",
Cowboy,1,Velomag,https://velomag.eu/reinventing-the-ride-cowboy-bikes-bold-transformation/,0.662,all-MiniLM-L6-v2,0.662,0.671,0.0376,0.0395,0.0,0.0,0.0,bmc_search:cowboy urban mobility e-bikes move people 2xfaster competitors,0.526,no,5,,"Innovative urban electric bicycles, e-mobility solutions",,,Strategic partnership with ReBirth Group Holding,"Industrial capabilities, robust retail network","Assembly operations in France, production quality enhancement","ReBirth Group Holding, ReCycles",
Cowboy,2,Electricbikeexplorer,https://electricbikeexplorer.com/cowboy-ebike-acquisition-rebirth/,0.628,all-MiniLM-L6-v2,0.628,0.638,0.0753,0.0698,0.0,0.0,0.0,bmc_search:cowboy urban mobility e-bikes move people 2xfaster competitors,0.585,yes,5,,"E-bikes, scooters, and other lightweight electric vehicles",,,$105M in funding from Eclipse Ventures,"70 engineers and designers from Apple, Google, Tesla, and Uber",Developing e-bikes and scooters with advanced EV technology,"Eclipse Ventures, Rivian (substantial minority stake)",
Cowboy,3,Geeky Gadgets,https://www.geeky-gadgets.com/ebike-startup-bankruptcies/,0.62,all-MiniLM-L6-v2,0.62,0.806,0.0605,0.0564,0.0,0.0,0.0,bmc_search:e-bikes move people 2xfaster startup company,0.528,no,4,,"Eco-friendly e-bikes with innovative designs, theft protection systems, and user-friendly features.",,,"Venture capital funding, product sales","Significant venture capital funding, innovative products","Aggressive expansion plans, rapid product launches",,
Cowboy,4,Us,https://us.cowboy.com/,0.553,all-MiniLM-L6-v2,0.553,0.849,0.2253,0.2002,0.0,0.0,0.0,bmc_search:cowboy urban mobility e-bikes move people 2xfaster competitors,0.618,no,6,,Connected E-Bikes with AdaptivePower technology,"Online Store, Test Rides, App",Personalized Experience through App and Support,"Bike Sales, Accessories, Subscription Services","Proprietary Technology, Carbon Belt, Wireless Phone Charger","R&D, Manufacturing, Marketing",,
Cowboy,5,Blog,https://blog.osum.com/electric-bike-startups/,0.515,all-MiniLM-L6-v2,0.515,0.67,0.0229,0.0268,0.0,0.0,0.0,bmc_search:startups similar to cowboy urban mobility e-bikes move people 2xfaster,0.498,no,3,,Innovative models changing traditional bicycle culture,,,Instant access to detailed competitive research and SWOT analysis,,,"PeopleForBikes, Google",
Cowboy,6,Sdweekly,https://sdweekly.com/worlds-lightest-e-bike-launches-from-san-diego-tech-hub-promising-smarter-faster-and-more-sustainable-urban-mobility/,0.453,all-MiniLM-L6-v2,0.453,0.584,0.0469,0.0425,0.0,0.0,0.0,bmc_search:e-bikes move people 2xfaster startup company,0.459,yes,4,,"Smarter, Faster, and More Sustainable Urban Mobility",,,,"Carbon fiber components, in-house developed battery and motor, chipset, firmware, artificial intelligence","R&D, engineering iteration, vertically integrated approach","Amazon, Google, IBM, Merida",
Cowboy,7,Metapress,https://metapress.com/how-movin-ebikes-is-revolutionizing-urban-transportation-in-north-america/,0.452,all-MiniLM-L6-v2,0.452,0.715,0.0434,0.0402,0.0,0.0,0.0,bmc_search:e-bikes move people 2xfaster startup company,0.574,no,4,,Sustainable mobility solutions for urban transportation,,,"Flagship store opening in Manhattan, diverse lineup of e-bikes addressing varied needs","Dual battery system, fat tires, reinforced rear rack, commercial-grade construction","Developing diverse lineup, refusing to offer one-size-fits-all solutions",,
Cowboy,8,Startupsmagazine,https://startupsmagazine.co.uk/article-your-bike,0.116,all-MiniLM-L6-v2,0.116,0.478,0.0405,0.0431,0.0,0.0,0.0,bmc_search:urban mobility e-bikes move people 2xfaster startup,0.472,yes,5,,AI-powered app for accurate waste sorting,,,Rewards users with in-app 'XP' or coins from connected brands,"Cutting-edge AI technology, Google's DeepMind Gemini models, open-source computer vision system","Developing and improving the app, partnering with brands","Over 500 brands, including Nespresso, Gillette, Unilever",
EQL,1,Humanwomanity,https://humanwomanity.com/eql-login/,0.65,all-MiniLM-L6-v2,0.77,0.735,0.1026,0.078,0.0,0.12,0.0,bmc_search:startups similar to eql Global brands EQL's launch platform manages hype,0.55,no,2,,EQL is a Hype Commerce platform retailers can use to manage the launches of scarce products.,,,Register. Register to use convenient features and quickly checkout.,,,,
EQL,2,Renegademarketing,https://renegademarketing.com/b2b-brand-strategy-report/,0.439,all-MiniLM-L6-v2,0.439,0.566,0.0157,0.0325,0.0,0.0,0.0,bmc_search:Global brands B2B startup official website,0.389,no,2,,12 ways to simplify B2B marketing efforts,,,"marketing services, book sales",,,,
EQL,3,Apps,https://apps.shopify.com/eql-launches,0.367,all-MiniLM-L6-v2,0.367,0.592,0.0878,0.0706,0.0,0.0,0.0,bmc_search:EQL's launch platform manages hype startup company,0.675,yes,5,,Run limited-edition or exclusive drops that drive more revenue,,,"Free to install, Additional charges may apply","Bot mitigation and Run Fair technology, Unlimited launches, Launch performance reports",Flexible launch types: Draws and Exclusive access launches — all from one app.,,"Flexible transaction fees based on launch type (1-4%), All charges are billed in USD."
Experify,1,Life Longlearner,https://life-longlearner.com/effective-conversations-about-your-company/,0.497,all-MiniLM-L6-v2,0.497,0.731,0.1043,0.1214,0.0,0.0,0.0,competitor_search:Authentic opinions and honest conversations around startup competitors,0.0,yes,2,,Be authentic about your startup's challenges,,Develop rapport with people to be honest and authentic,,,,,
Experify,2,Moz,https://moz.com/,0.413,all-MiniLM-L6-v2,0.413,0.622,0.0201,0.0264,0.0,0.0,0.0,listicle_page:best Authentic opinions and honest conve,0.272,no,3,,SEO & AI search toolkit for smarter marketing,"Keyword Research, Competitive Research, Link Research, Rank Tracking, Domain Overview, Site Crawl, STAT, Moz Local",,Subscription-based (View Plans),,,,
Experify,3,Winsavvy,https://www.winsavvy.com/startup-influencer-marketing-collaborations/,0.392,all-MiniLM-L6-v2,0.392,0.68,0.0167,0.0229,0.0,0.0,0.0,competitor_search:Authentic opinions and honest conversations around startup competitors,0.0,yes,2,,Startup Influencer Marketing: Collaborations for Audience Reach,,,"Built to be actionable, prioritizing steps, frameworks, and checklists you can apply immediately — not vague “marketing advice.”",,,,
Experify,4,StartupTalky,https://startuptalky.com/,0.354,all-MiniLM-L6-v2,0.354,0.543,0.0184,0.0342,0.0,0.0,0.0,vc_seed:Authentic opinions and honest conversations arou,0.217,yes,4,,Technology-driven logistics solutions for efficient goods movement,,,Startups are rethinking logistics with disruption similar to fintech in payments,"Artificial Intelligence (AI), Internet of Things (IoT), Electric Vehicles (EVs)","Deploying AI-led forecasting, route optimisation, and automation for same-day deliveries",,
Fluence,1,Integration Communications,https://integration-communications.prowly.com/207580-fluence-receives-oregon-state-license-to-train-psilocybin-facilitators,0.759,all-MiniLM-L6-v2,0.759,0.792,0.0734,0.0627,0.0,0.0,0.0,bmc_search:Fluence Licensed therapists credentialed professional trainings online a,0.511,no,5,,Training and certification for psychedelic therapies,,,Certificate program with tuition fees,"Expertise-driven educational platform, licensed professionals, graduate students",Providing quality education about psychedelic-assisted therapy and Psychedelic Harm Reduction and Integration,"Higher Education Coordinating Commission (HECC), Oregon Health Authority (OHA)",
Fluence,2,Talkspace,https://www.talkspace.com/online-therapy/,0.54,all-MiniLM-L6-v2,0.54,0.669,0.1336,0.1092,0.0,0.0,0.0,bmc_search:startups similar to Fluence Licensed therapists credentialed professiona,0.439,no,6,,Affordable online therapy with licensed therapists,"Online platform, mobile app",Personalized match with a licensed therapist,"Insurance coverage, out-of-pocket payments",Network of 150+ licensed therapists and psychiatric providers,"Matching customers with therapists, providing therapy sessions",,
Fluence,3,Betterhelp,https://www.betterhelp.com/,0.53,all-MiniLM-L6-v2,0.53,0.618,0.102,0.0887,0.0,0.0,0.0,bmc_search:Licensed therapists credentialed professional trainings online and in-pe,0.403,yes,5,,Professional therapy with a licensed therapist,100% online,Get matched to a therapist,,Qualified therapists ready to help,Communicate your way,,
Fluence,4,Eightception,https://eightception.com/mantra-health-campus-solutions/,0.491,all-MiniLM-L6-v2,0.491,0.553,0.0284,0.035,0.0,0.0,0.0,bmc_search:Licensed therapists B2B startup official website,0.398,yes,5,,Comprehensive Mental Health Services,"User-friendly app, Partnerships with universities","Integrated Support, Specialized Programs","B2B2C, one-sided, service model",,,"Mental health providers, Universities",
Fluence,5,Growthlist,https://growthlist.co/mental-health-startups/,0.463,all-MiniLM-L6-v2,0.463,0.489,0.0265,0.0339,0.0,0.0,0.0,bmc_search:Licensed therapists B2B startup official website,0.418,yes,4,,Verified contacts and funding data for mental health startups,"Weekly updates, custom lists, and database access",B2B lead database with verified founder emails and company intelligence,Order a custom list or subscribe to Growth List,,,,
Fluence,6,Businessoftherapy,https://businessoftherapy.com/,0.38,all-MiniLM-L6-v2,0.38,0.547,0.0426,0.0467,0.0,0.0,0.0,bmc_search:Licensed therapists B2B startup official website,0.464,no,5,,Helping therapists start and scale their own private practice using Instagram marketing,"Instagram, Reels Membership, Private Practice Academy Bundle, Private Coaching",Personalized support through coaching and membership programs,"Coaching services, membership programs, digital products",,"Creating content, marketing strategies, business skills training",,
Fluence,7,Fundediq,https://fundediq.co/mental-health-startups/,0.303,all-MiniLM-L6-v2,0.303,0.574,0.0683,0.0729,0.0,0.0,0.0,bmc_search:startups similar to Fluence Licensed therapists credentialed professiona,0.384,no,2,,Accessibility and convenience in teletherapy,,,Subscription-based fee for access to licensed therapists,,,,
HTEC,1,Hfsresearch,https://www.hfsresearch.com/hot-vendor-profile/?hv=303,0.448,all-MiniLM-L6-v2,0.448,0.73,0.0513,0.0542,0.0,0.0,0.0,bmc_search:htec global enterprises notjustdeliver competitors,0.465,no,8,,"Enterprise Innovation, Enabling Tech","Research Coverage, Events, Solutions","Vendor Engagement Programs, Analyst Advisory Program","Enterprise Advisory Services, Data Intelligence Suite","Global Capability Centers (GCCs), OneOffice Mindset & Horizon 3 Innovation","People and Process Change, Services-as-Software","Accenture, Cognizant, UiPath, Automation Anywhere","Research Coverage, Events, Solutions"
HTEC,2,Udaan,https://udaan.com/,0.433,all-MiniLM-L6-v2,0.433,0.526,0.0397,0.0415,0.0,0.0,0.0,bmc_search:global enterprises B2B startup official website,0.25,yes,2,,"Order a wide range of high-quality products, trusted brands, and seamless delivery — all in one platform.",,,Wholesale Prices You’ll Love / Get exclusive wholesale rates across lakhs of products,,,,
HTEC,3,Horsesforsources,https://www.horsesforsources.com/gbs-is-dead-long-live-gbs_082123/,0.394,all-MiniLM-L6-v2,0.394,0.539,0.033,0.0424,0.0,0.0,0.0,bmc_search:global enterprises notjustdeliver startup,0.371,no,4,,Generative Business Services (GBS) leveraging AI to drive business transformation,,,"Cost savings, efficiency gains, and new sources of value through business transformation","AI technologies, Large Language Models, autonomously-capable apps","Business process centralization, outsourcing/offshoring, partnering with service providers",,
HTEC,4,Hubspot,https://www.hubspot.com/startups,0.32,all-MiniLM-L6-v2,0.32,0.571,0.0326,0.0359,0.0,0.0,0.0,competitor_search:notjustdeliver startup competitors,0.291,yes,6,,One complete revenue picture for your team and your agents.,"Unite marketing, sales, and customer service on one agentic customer platform that delivers results fast.","Connected data and tools make it easier to know, do, and connect everything across your business.",,Powered by AI,Growing a business is hard. HubSpot makes it easier.,"Works with the tools you already use. 2,000+ integrations.",
Hello Heart,1,Thehcdata,https://thehcdata.com/employer-digital-heart-health-program-linked-to-sig/,0.665,all-MiniLM-L6-v2,0.665,0.763,0.1679,0.1195,0.0,0.0,0.0,bmc_search:startups similar to helloheart self-insured employers digital solution f,0.535,no,4,,Digital health program for employers to improve employee heart health and reduce costs,,,Cost savings for employers offering the digital health program as a benefit,"Connected monitor, mobile app, AI-driven coaching, personalized insights","Providing real-time data and insights to users, tracking vital health metrics",,
Hello Heart,2,Blog,https://blog.heartratehealthcare.com/heart-health-marketing-solutions/,0.584,all-MiniLM-L6-v2,0.584,0.652,0.0923,0.0856,0.0,0.0,0.0,competitor_search:digital solution for heart health startup competitors,0.557,no,5,,"Innovative marketing, branding, and digital strategies for heart health companies","SEO, social media, paid ads, content development","Data-driven, customer-focused approach","Digital marketing services, website development, content creation",,"Keyword research, website optimization, content development, technical improvements",,
Hello Heart,3,Dacadoo,https://www.dacadoo.com/,0.584,all-MiniLM-L6-v2,0.584,0.613,0.1153,0.0832,0.0,0.0,0.0,bmc_search:self-insured employers digital solution for heart health startup,0.49,no,2,,Digital Health Technology that Puts Customer Engagement at the Heart of Your Business.,,"Build meaningful, long-term customer relationships with dacadoo’s engaging digital health platform",,,,,
Hello Heart,4,Research2Guidance,https://research2guidance.com/the-top-10-hidden-champions-in-digital-cardiology-market-on-r2gconnect/,0.481,all-MiniLM-L6-v2,0.481,0.666,0.0746,0.0572,0.0,0.0,0.0,competitor_search:digital solution for heart health startup competitors,0.493,yes,2,,Digital therapeutic alternatives or medical devices offering higher quality data interpretation,,,"Monetize services beyond in-app purchase model, offer digital therapy or medication alternative",,,,
Hello Heart,5,Healthee,https://healthee.com/self-insured-employers/,0.474,all-MiniLM-L6-v2,0.474,0.747,0.0475,0.0727,0.0,0.0,0.0,bmc_search:AI development for self-insured employers startup,0.505,no,3,,AI-powered platform to reduce unnecessary costs while improving care outcomes,,,Priced per employee per month (PEPM),,,TPAs and carriers,
Hello Heart,6,Healthtechchallengers,https://healthtechchallengers.com/,0.396,all-MiniLM-L6-v2,0.396,0.613,0.0157,0.0232,0.0,0.0,0.0,competitor_search:digital solution for heart health startup competitors,0.478,no,2,,"Startup program helps companies increase brand awareness, secure funding and make connections that convert into partnerships.",,,"Increase brand awareness, secure funding",,,,
Hello Heart,7,Fundediq,https://fundediq.co/hello-heart-helloheart-com-funding/,0.265,all-MiniLM-L6-v2,0.265,0.537,0.025,0.0509,0.0,0.0,0.0,bmc_search:startups similar to helloheart,0.49,yes,2,,Accessibility and convenience in teletherapy,,,Subscription-based fee for access to licensed therapists,,,,
Hello Heart,8,Vip,https://vip.graphics/hello-heart-pitch-deck/?srsltid=AfmBOoqBk8l0ZLBsvmJ6CZ1wauZMqU_tHvOsMHwwk15OD5s3giNAIvUZ,0.244,all-MiniLM-L6-v2,0.244,0.621,0.032,0.0385,0.0,0.0,0.0,bmc_search:startups similar to helloheart self-insured employers digital solution f,0.634,yes,5,,Virtual reality platform for surgical training and education,,,"Subscription-based, with potential for additional revenue streams through partnerships and licensing","Software, Oculus Rift headsets, proficiency data repository","Developing and updating software modules, training surgeons and medical students, partnering with healthcare organizations","Oak HC/FT, Tiger Global Management, GSR Ventures, SignalFire, Kaiser Permanente Ventures",
IMMO,1,Siliconcanals,https://siliconcanals.com/london-proptech-startup-immo-funding/,0.453,all-MiniLM-L6-v2,0.453,0.484,0.0362,0.0428,0.0,0.0,0.0,bmc_search:Residential sellers IMMO offers a simplified residential platform startu,0.537,yes,6,,Experify connects prospective buyers to real purchasers in their community,,"authentic, scalable word-of-mouth experience",$4M (approximately €3.69M) in a Seed round of funding,platform for potential buyers to meet local brand owners and get honest reviews,"increasing its headcount, specifically on the sales and product engineering teams","Vertex Ventures US, Sonae Investment Management, Berkeley SkyDeck Fund",
IMMO,2,Nearlymen,https://nearlymen.com/sofoximmo-a-complete-guide-to-sofoximmo-its-services-features-and-market-potential/,0.452,all-MiniLM-L6-v2,0.452,0.674,0.0451,0.0483,0.0,0.0,0.0,bmc_search:Residential sellers IMMO offers a simplified residential platform startu,0.483,yes,4,,"structured property solutions, market expertise",,,"property sales and purchases, investment consultancy","digital tools, professional branding","market valuation, negotiation support, tenant screening",,
IMMO,3,Europaproperty,https://europaproperty.com/ca-immo-offers-a-bike-rental-system-in-its-office-buildings-in-warsaw/,0.376,all-MiniLM-L6-v2,0.376,0.484,0.0319,0.0461,0.0,0.0,0.0,bmc_search:IMMO offers a simplified residential platform startup company,0.343,no,6,,bike rental system for office building tenants,"Revelo app, bike rental stations in office buildings","free of charge for up to 72 hours, ongoing maintenance by The Bike Company","partnership with The Bike Company, no direct revenue mentioned",,"operating reservation system, bike maintenance",The Bike Company,
IMMO,4,Netyield,https://www.netyield.co.uk/?view=article&id=203&catid=17,0.356,all-MiniLM-L6-v2,0.356,0.62,0.0793,0.0688,0.0,0.0,0.0,bmc_search:Residential sellers IMMO offers a simplified residential platform startu,0.483,no,5,,"Digitally sources, appraises and acquires properties at scale for institutional investors",,,Equity investment will fund expansion in the UK and Germany; €60million capital raised from real estate investors,AI-based evaluation process; residential buying platform,"Digitally sources, appraises and acquires properties at scale on behalf of institutional investors","Talis Capital, HV Holtzbrinck Ventures, Tom Stafford & Rahul Mehta of DST Global, Mato Peric amongst others",
IMMO,5,Doma,https://www.doma.com/doma-brings-machine-learning-technology-to-approximately-83-of-us-residential-real-estate-market/,0.328,all-MiniLM-L6-v2,0.328,0.598,0.0963,0.0932,0.0,0.0,0.0,bmc_search:Developing and maintaining proprietary technology for Residential seller,0.286,no,6,,Machine learning technology for residential real estate,"Online platform, partnerships with lenders and title companies","Digital experience, automated processes",Fees from lenders and title companies,"Machine learning algorithms, data analytics capabilities",,"Lenders, title companies, real estate agents",
IMMO,6,Ascendixtech,https://ascendixtech.com/proptech-companies-startups-overview/,0.303,all-MiniLM-L6-v2,0.303,0.642,0.0689,0.0686,0.0,0.0,0.0,bmc_search:Developing and maintaining proprietary technology for Residential seller,0.263,no,4,,Custom software development in commercial real estate,,,Custom software development services,"Streamlining workflows and automating tasks of property managers and owners, brokers, and venture capital investors","Developing custom-built solutions like reporting and document management systems, and customer relationship management tools (CRM)",,
IMMO,7,Demandbase,https://www.demandbase.com/,0.144,all-MiniLM-L6-v2,0.144,0.478,0.0406,0.0453,0.0,0.0,0.0,bmc_search:Residential sellers B2B startup official website,0.273,no,5,,Turn signals into coordinated action across your entire GTM,"Marketing, Sales, Advertising, Data",Cross-functional orchestration,"Replace disconnected systems and manual handoffs with a unified view of accounts, activity, and performance",,"Use AI to analyze signals, accounts, and buying group activity",,
Ibble,1,Startbotnet,https://startbotnet.com/,0.542,all-MiniLM-L6-v2,0.542,0.77,0.08,0.0812,0.0,0.0,0.0,bmc_search:Reinventing social media to spark curiosity startup company,0.529,yes,5,,"Social media and technology for communication, connection, and business","Social media platforms, video content, blog posts, analytics tools",Building genuine relationships with audiences through meaningful online connections,Unknown,,Developing and using analytical technology to process data and improve user experiences,,
Ibble,2,Dokumen,https://dokumen.pub/putting-the-public-back-in-public-relations-how-social-media-is-reinventing-the-aging-business-of-pr-0137150695-9780137150694.html,0.536,all-MiniLM-L6-v2,0.536,0.71,0.0803,0.0761,0.0,0.0,0.0,bmc_search:Reinventing social media to spark curiosity startup company,0.373,no,6,,Social media reinvents public relations,"Digital platforms, social media",Collaborative relationships with influencers and customers,"Downloadable e-books, online courses","Expert authors, digital infrastructure","Content creation, marketing, customer engagement",,
Ibble,3,Marketinglad,https://marketinglad.io/b2b-social-media-content-ideas/,0.512,all-MiniLM-L6-v2,0.512,0.673,0.0803,0.0693,0.0,0.0,0.0,bmc_search:Reinventing social media to spark curiosity startup company,0.52,yes,5,,Tried & tested B2B social media content ideas,"Social media platforms (e.g., LinkedIn, Twitter)",Build trust and establish industry leadership,Organic marketing and lead generation,,Creating high-quality content and engaging with audience,,
Ibble,4,Startupdevkit,https://startupdevkit.com/startup-social-media-marketing/,0.478,all-MiniLM-L6-v2,0.478,0.7,0.0891,0.0764,0.0,0.0,0.0,bmc_search:Reinventing social media to spark curiosity startup company,0.468,no,4,,Startup social media marketing strategies for growth,"LinkedIn, Instagram, TikTok, YouTube, Facebook, X (formerly Twitter), Reddit, Threads, and Bluesky","Content calendar, lead magnets, opt-in offers",,,"Content creation, social media marketing across channels",,
Ibble,5,Timelapsemagazine,https://timelapsemagazine.com/why-web-apps-are-the-new-frontier-for-fitness-startups/,0.453,all-MiniLM-L6-v2,0.453,0.635,0.0363,0.0386,0.0,0.0,0.0,bmc_search:Younger mobile users (18-40 B2B startup official website,0.357,no,5,,Seamless digital experiences for fitness users across devices and demographics,"Web apps, Progressive Web Apps (PWAs), mobile, desktop, smart TVs","Personalization, flexibility, speed, agility, minimized cost, accelerated scale",,"Modern frameworks (Next.js, React, Vue), backend scalability (Node.js, Firebase), edge delivery (Vercel, Cloudflare)","Web app development, PWA capabilities, home screen installability, offline functionality, push notifications",,
